0.3,0.45,0.6,0.65,0.7,0.75,0.8
-142,0.5751,0.5194,0.5861,0.5345,0.6085,0.5724,0.6181,0.5914,0.6153,0.5914,0.7389,0.6482,0.8462,0.739
-141,0.5764,0.5422,0.5873,0.5581,0.6093,0.5977,0.6187,0.6175,0.6159,0.6175,0.7408,0.6769,0.8489,0.7717
-140,0.5769,0.5653,0.5877,0.5818,0.6093,0.6231,0.6184,0.6438,0.6156,0.6438,0.7417,0.7058,0.8504,0.8046
-139,0.5767,0.5884,0.5872,0.6057,0.6085,0.6487,0.6173,0.6702,0.6144,0.6702,0.7416,0.7348,0.8508,0.8378
-138,0.5756,0.6117,0.586,0.6296,0.6068,0.6744,0.6154,0.6968,0.6124,0.6968,0.7405,0.7639,0.85,0.8711
-137,0.5738,0.6351,0.584,0.6537,0.6043,0.7002,0.6126,0.7234,0.6097,0.7234,0.7384,0.7932,0.848,0.9045
-136,0.5712,0.6585,0.5813,0.6777,0.6011,0.726,0.6091,0.7501,0.6061,0.7501,0.7353,0.8225,0.8449,0.938
-135,0.5679,0.6819,0.5778,0.7019,0.597,0.7519,0.6047,0.7768,0.6017,0.7769,0.7312,0.8519,0.8407,0.9715
-134,0.5638,0.7053,0.5735,0.726,0.5922,0.7777,0.5996,0.8036,0.5965,0.8036,0.7262,0.8812,0.8353,1.005
-133,0.559,0.7286,0.5685,0.75,0.5866,0.8035,0.5937,0.8302,0.5907,0.8303,0.7203,0.9105,0.8289,1.0384
-132,0.5535,0.7519,0.5627,0.774,0.5803,0.8292,0.5871,0.8568,0.584,0.8569,0.7134,0.9397,0.8213,1.0718
-131,0.5473,0.7751,0.5563,0.7979,0.5732,0.8549,0.5798,0.8833,0.5767,0.8834,0.7056,0.9688,0.8127,1.105
-130,0.5404,0.7982,0.5491,0.8217,0.5655,0.8804,0.5717,0.9097,0.5686,0.9097,0.6969,0.9977,0.803,1.138
-129,0.5328,0.8211,0.5413,0.8453,0.5571,0.9057,0.563,0.9359,0.5599,0.9359,0.6873,1.0265,0.7924,1.1709
-128,0.5245,0.8439,0.5328,0.8687,0.548,0.9308,0.5536,0.9619,0.5505,0.9619,0.6769,1.055,0.7807,1.2035
-127,0.5157,0.8664,0.5236,0.892,0.5382,0.9557,0.5436,0.9876,0.5405,0.9876,0.6656,1.0833,0.768,1.2358
-126,0.5061,0.8888,0.5139,0.9149,0.5278,0.9804,0.5329,1.0131,0.5298,1.0131,0.6535,1.1113,0.7543,1.2677
-125,0.496,0.9108,0.5035,0.9377,0.5169,1.0047,0.5216,1.0383,0.5186,1.0383,0.6406,1.1389,0.7398,1.2993
-124,0.4853,0.9326,0.4925,0.9601,0.5053,1.0288,0.5098,1.0631,0.5068,1.0632,0.627,1.1663,0.7243,1.3305
-123,0.474,0.954,0.481,0.9822,0.4932,1.0525,0.4974,1.0877,0.4944,1.0877,0.6126,1.1932,0.7079,1.3612
-122,0.4622,0.9752,0.4689,1.0039,0.4805,1.0758,0.4844,1.1118,0.4815,1.1118,0.5975,1.2197,0.6907,1.3915
-121,0.4499,0.9959,0.4562,1.0253,0.4673,1.0988,0.4709,1.1355,0.4681,1.1355,0.5816,1.2457,0.6726,1.4212
-120,0.437,1.0163,0.4431,1.0463,0.4536,1.1213,0.457,1.1588,0.4542,1.1588,0.5651,1.2713,0.6538,1.4504
-119,0.4236,1.0363,0.4295,1.0668,0.4394,1.1433,0.4426,1.1816,0.4398,1.1816,0.548,1.2963,0.6342,1.479
-118,0.4098,1.0558,0.4154,1.087,0.4247,1.1649,0.4277,1.2039,0.425,1.2039,0.5302,1.3208,0.6138,1.507
