0.3,0.4,0.5,0.6,0.7,0.8
-136,0.8352,0.8358,0.8552,0.86,0.8806,0.8841,0.8974,0.9082,0.9261,0.9324,1.3323,1.023
-135,0.8319,0.8659,0.8518,0.8909,0.8771,0.9159,0.8937,0.9409,0.9223,0.9659,1.3627,1.0597
-134,0.8275,0.8959,0.8472,0.9217,0.8723,0.9476,0.8888,0.9735,0.9173,0.9994,1.3931,1.0965
-133,0.822,0.9258,0.8415,0.9526,0.8665,0.9793,0.8827,1.0061,0.9111,1.0328,1.4235,1.1332
-132,0.8154,0.9557,0.8347,0.9833,0.8595,1.011,0.8754,1.0386,0.9037,1.0662,1.4538,1.1698
-131,0.8077,0.9855,0.8267,1.014,0.8513,1.0425,0.867,1.071,0.8951,1.0994,1.4834,1.2062
-130,0.799,1.0152,0.8177,1.0445,0.842,1.0738,0.8575,1.1032,0.8853,1.1325,1.5112,1.2425
-129,0.7892,1.0446,0.8076,1.0748,0.8316,1.105,0.8468,1.1352,0.8744,1.1654,1.5352,1.2786
-128,0.7783,1.0739,0.7965,1.1049,0.8202,1.136,0.8351,1.167,0.8623,1.1981,1.5526,1.3143
-127,0.7665,1.1029,0.7843,1.1348,0.8076,1.1666,0.8222,1.1985,0.8491,1.2304,1.5603,1.3498
-126,0.7536,1.1316,0.7711,1.1643,0.7941,1.197,0.8083,1.2297,0.8347,1.2625,1.5551,1.3849
-125,0.7398,1.1599,0.7569,1.1935,0.7794,1.227,0.7933,1.2606,0.8194,1.2941,1.5347,1.4196
-124,0.725,1.188,0.7418,1.2223,0.7638,1.2567,0.7774,1.2911,0.8029,1.3254,1.4987,1.4539
-123,0.7093,1.2156,0.7257,1.2508,0.7472,1.2859,0.7604,1.3211,0.7855,1.3563,1.4487,1.4876
-122,0.6927,1.2428,0.7086,1.2787,0.7297,1.3147,0.7425,1.3507,0.767,1.3866,1.3877,1.5209
-121,0.6752,1.2695,0.6907,1.3063,0.7112,1.343,0.7236,1.3797,0.7476,1.4165,1.3198,1.5536
-120,0.6568,1.2958,0.6719,1.3333,0.6919,1.3708,0.7039,1.4083,0.7272,1.4458,1.2488,1.5856
-119,0.6377,1.3215,0.6522,1.3598,0.6716,1.398,0.6832,1.4362,0.7059,1.4745,1.1777,1.617
-118,0.6177,1.3467,0.6318,1.3857,0.6506,1.4246,0.6618,1.4636,0.6821,1.5026,1.1085,1.6478
-117,0.5969,1.3713,0.6105,1.411,0.6287,1.4507,0.6395,1.4903,0.6591,1.53,1.0424,1.6778
-116,0.5755,1.3952,0.5885,1.4356,0.606,1.476,0.6151,1.5164,0.6354,1.5568,0.9798,1.707
-115,0.5533,1.4186,0.5658,1.4596,0.5815,1.5007,0.5913,1.5418,0.6108,1.5828,0.9207,1.7355
-114,0.5304,1.4412,0.5424,1.4829,0.5574,1.5247,0.5668,1.5664,0.5855,1.6081,0.8648,1.7631
-113,0.5069,1.4632,0.5174,1.5055,0.5327,1.5479,0.5416,1.5903,0.5595,1.6326,0.8118,1.7898
-112,0.4819,1.4844,0.4927,1.5274,0.5073,1.5703,0.5157,1.6133,0.5329,1.6563,0.7612,1.8157
-111,0.4572,1.5048,0.4675,1.5484,0.4813,1.592,0.4893,1.6356,0.5056,1.6792,0.7127,1.8406
-110,0.432,1.5245,0.4417,1.5687,0.4548,1.6128,0.4623,1.657,0.4777,1.7011,0.6659,1.8646
-109,0.4063,1.5434,0.4154,1.5881,0.4277,1.6328,0.4347,1.6775,0.4492,1.7222,0.6204,1.8875
-108,0.3801,1.5615,0.3886,1.6067,0.4001,1.6519,0.4066,1.6972,0.4202,1.7424,0.5761,1.9095
-107,0.3534,1.5787,0.3613,1.6244,0.372,1.6702,0.3781,1.7159,0.3907,1.7616,0.5327,1.9303
