0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.8,0.85,0.9
-149,0.7133,0.4562,0.716,0.456,0.74,0.469,0.741,0.475,0.746,0.483,0.767,0.496,0.779,0.509,0.775,0.523,0.844,0.528,0.893,0.536
-148,0.7229,0.4825,0.726,0.483,0.75,0.497,0.751,0.502,0.756,0.511,0.777,0.525,0.789,0.539,0.785,0.553,0.857,0.558,0.906,0.567
-147,0.7315,0.5092,0.734,0.509,0.759,0.524,0.76,0.53,0.765,0.539,0.786,0.554,0.798,0.569,0.794,0.583,0.868,0.589,0.918,0.598
-146,0.7391,0.5364,0.742,0.536,0.767,0.552,0.768,0.558,0.773,0.568,0.794,0.583,0.806,0.599,0.801,0.615,0.878,0.621,0.929,0.63
-145,0.7456,0.5639,0.749,0.564,0.774,0.58,0.774,0.587,0.779,0.597,0.801,0.613,0.813,0.63,0.808,0.646,0.887,0.653,0.938,0.662
-144,0.7511,0.5917,0.754,0.592,0.78,0.609,0.78,0.616,0.785,0.626,0.807,0.643,0.819,0.661,0.813,0.678,0.895,0.685,0.946,0.695
-143,0.7556,0.6198,0.759,0.62,0.784,0.638,0.785,0.645,0.789,0.656,0.812,0.674,0.823,0.692,0.817,0.71,0.901,0.718,0.953,0.728
-142,0.759,0.6483,0.762,0.648,0.788,0.667,0.788,0.675,0.793,0.686,0.815,0.705,0.826,0.724,0.82,0.743,0.906,0.751,0.958,0.762
-141,0.7614,0.6769,0.764,0.677,0.79,0.697,0.791,0.705,0.795,0.717,0.817,0.736,0.829,0.756,0.821,0.776,0.91,0.784,0.963,0.796
-140,0.7627,0.7058,0.766,0.706,0.792,0.726,0.792,0.735,0.796,0.747,0.819,0.768,0.83,0.788,0.822,0.809,0.913,0.817,0.965,0.83
-139,0.763,0.7348,0.766,0.735,0.792,0.756,0.792,0.765,0.796,0.778,0.819,0.799,0.829,0.821,0.821,0.842,0.914,0.851,0.967,0.864
-138,0.7622,0.764,0.765,0.764,0.791,0.786,0.791,0.795,0.795,0.809,0.818,0.831,0.828,0.854,0.82,0.876,0.914,0.885,0.967,0.898
-137,0.7604,0.7932,0.764,0.793,0.79,0.816,0.789,0.826,0.793,0.84,0.815,0.863,0.826,0.886,0.817,0.909,0.913,0.919,0.966,0.932
-136,0.7577,0.8225,0.761,0.822,0.787,0.847,0.786,0.856,0.79,0.871,0.812,0.895,0.822,0.919,0.813,0.943,0.911,0.953,0.963,0.967
-135,0.7539,0.8519,0.757,0.852,0.783,0.877,0.782,0.887,0.786,0.902,0.808,0.927,0.818,0.952,0.808,0.977,0.907,0.987,0.96,1.002
-134,0.7491,0.8812,0.752,0.881,0.778,0.907,0.777,0.917,0.781,0.933,0.803,0.959,0.812,0.985,0.802,1.011,0.902,1.021,0.955,1.036
-133,0.7433,0.9105,0.747,0.911,0.772,0.937,0.771,0.948,0.775,0.964,0.796,0.991,0.806,1.018,0.795,1.044,0.896,1.055,0.948,1.071
-132,0.7365,0.9397,0.74,0.94,0.765,0.967,0.764,0.978,0.767,0.995,0.789,1.023,0.798,1.05,0.787,1.078,0.889,1.089,0.941,1.105
-131,0.7288,0.9688,0.732,0.969,0.757,0.997,0.756,1.009,0.759,1.026,0.78,1.054,0.789,1.083,0.778,1.111,0.88,1.123,0.932,1.139
-130,0.7202,0.9977,0.724,0.998,0.748,1.027,0.747,1.039,0.75,1.056,0.771,1.086,0.78,1.115,0.768,1.145,0.871,1.156,0.922,1.173
-129,0.7106,1.0265,0.714,1.026,0.738,1.057,0.737,1.069,0.74,1.087,0.761,1.117,0.769,1.147,0.757,1.178,0.86,1.19,0.911,1.207
